format,prod,platform,account,followers,date,views,likes,comments,shares,saves,dur,acct_median,multiple,c_per_k,sh_per_k,sv_per_k,caption,url,code
CAREER,GF,tt,trackerfoot,9742,2026-09-12,748131,16874,127,520,1793,315.3,,,0.17,0.7,2.4,Robert Lewandowski's career #lewandowski #robertlewandowski #footballedit #soccer,https://www.tiktok.com/@trackerfoot/video/7684605050986974486,7684605050986974486
CAREER,F,tt,the.90th.minute45,9717,2026-09-03,676050,16397,42,265,422,89.2,,,0.06,0.39,0.62,"Calling all the Chelsea Fans, can you get 3/3? 💙#the90thminute #careerpath #PremierLeague #hazard #FootballTikTok ",https://www.tiktok.com/@the.90th.minute45/video/7681284497526017298,7681284497526017298
CAREER,F,ig,jakelyonsgeo,43686,2026-08-23,658496,31803,419,5684,,175.1,173678.0,3.79,0.64,8.63,,Can I name the footballer from their transfer history? . . . #trivia #quiz #soccer #football #sports,https://www.instagram.com/reel/DcY5xjJRA9W/,DcY5xjJRA9W
CAREER,G,tt,flippo.football,37452,2026-09-09,509245,16747,149,264,1179,60.1,20648,24.66,0.29,0.52,2.32,Lamine Yamal‘s Career 🇪🇸 #yamal #lamineyamal #FootballTikTok #soccertiktok #fyp @Lamine Yamal ,https://www.tiktok.com/@flippo.football/video/7683476942884015392,7683476942884015392
CAREER,G,tt,flippo.football,37452,2026-08-27,430572,11358,148,237,1024,60.8,20648,20.85,0.34,0.55,2.38,Ferran Torres Career 🇪🇸 #torres #ferrantorres #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7678726776020913441,7678726776020913441
CAREER,F,ig,jakelyonsgeo,43686,2026-09-21,222271,8323,179,1924,,177.2,173678.0,1.28,0.81,8.66,,Can I name the football/soccer player from their transfer history? . . . #trivia #quiz #football #soccer #sports,https://www.instagram.com/reel/Ddi7oREvkeX/,Ddi7oREvkeX
CAREER,G,tt,flippo.football,37452,2026-09-06,221245,5202,88,173,481,61.3,20648,10.72,0.4,0.78,2.17,Lionel Messi‘s Career 🇦🇷🇪🇸 #messi #lionelmessi #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7682335391118085409,7682335391118085409
CAREER,F,tt,the.90th.minute45,9717,2026-08-28,156448,1942,38,28,47,149.3,,,0.24,0.18,0.3,Will these Red Devils survive the test? Let’s see Guess the Career Path. 🔴⚽️ Let’s see who actually knows ball. #the90thminute #manutd #PremierLeague #careerpath #FootballTikTok ,https://www.tiktok.com/@the.90th.minute45/video/7679006532113009927,7679006532113009927
CAREER,G,tt,flippo.football,37452,2026-09-13,108217,1723,41,143,176,62.1,20648,5.24,0.38,1.32,1.63,UPDATE | Vedat Muriqi‘s Career 🇽🇰🇦🇱 #muriqi #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7685009081425284384,7685009081425284384
CAREER,G,tt,flippo.football,37452,2026-09-11,105098,1988,46,83,169,61.0,20648,5.09,0.44,0.79,1.61,UPDATE | Karim Adeyemi‘s Career 🇩🇪🇳🇬 #adeyemi #karimadeyemi #FootballTikTok #soccertiktok #fyp ,https://www.tiktok.com/@flippo.football/video/7684324001946094881,7684324001946094881
